trial,score,capture_rate,alive,w_sep,w_ali,w_coh,r_sep,r_ali,r_coh,p_vmax,p_vmin,p_accel,p_sense,p_capture
0,0.14125,0.14125,287,1.6232505396088548,0.1739159133558692,0.1637157834142145,0.03381077139589882,0.11477811548263793,0.06358786156221095,0.029931737961517664,0.006081608917841739,0.001795916901003241,0.2456068631634872,0.018295115376070075
1,0.1025,0.1025,318,2.3994061095587202,0.15638911249640639,0.029165800774116648,0.03458827908907064,0.048694763208980474,0.13673818597260545,0.020187753529265856,0.006257775371775269,0.0008880887998146252,0.3340385820424021,0.0179646553294006
2,0.18375,0.18375,253,1.139350319346307,0.1203091012131561,0.15494050326095393,0.022908339098486073,0.05729224402095448,0.1105023608931015,0.02526842731265438,0.008975505331343921,0.0013575193955075325,0.2560240445602726,0.02532247378239302
3,0.28125,0.28125,175,1.3794966040160608,0.155834099380786,0.1705770550341762,0.04282430413481911,0.10396877433427928,0.06981514218042947,0.019237788315981108,0.004790674762654148,0.001517811257452397,0.2660993095003762,0.03127640363492788
4,0.11375,0.11375,309,2.194538565058544,0.133957178106234,0.10900979144179941,0.019258143770505158,0.04525900153441296,0.06241247370510848,0.025479135053758126,0.0072325667912741184,0.000570721271984838,0.2653151067872794,0.024194931788436538
5,0.18125,0.18125,255,2.215472826750833,0.03479013920166751,0.11492881464403233,0.024350422548646097,0.11804494863472151,0.06177076737432245,0.018853300863647945,0.004580624464859331,0.0018268547208536514,0.20521285618951327,0.030038616991650516
6,0.215,0.215,228,2.4968369679518982,0.10251837462148433,0.18840123420528193,0.020268304786761098,0.05485767662091127,0.07921626416400702,0.03137342327755702,0.0073738387804630125,0.000576241306269148,0.28547319569810947,0.029092815155611393
7,0.285,0.285,172,1.4701573888799233,0.18892132024995978,0.10112548738615423,0.03747090379274164,0.10625833304908255,0.07719596383937911,0.024152191746174164,0.007286563662109222,0.001316735212791048,0.28110930243626425,0.03237607280257532
8,0.21125,0.21125,231,1.1976768819533332,0.024454236799068038,0.08957859816354101,0.015084809407701462,0.09522900223840595,0.13355744548246773,0.03412497642737174,0.006719266601937522,0.0007896686476670277,0.32621138881468476,0.03303542110979006
9,0.17625,0.17625,259,2.1952230776121744,0.08696765052179886,0.056462372886633874,0.04324954601101672,0.06489093586619193,0.15702479518587129,0.018550858518046855,0.008877017579160488,0.0013263336341699326,0.2128944829119321,0.019944366490182754
10,0.31875,0.31875,145,1.7429268847657657,0.19813872867792476,0.07734345734568945,0.04866781309772796,0.08694030243765999,0.09348931246611583,0.02352288857736347,0.009881433038847698,0.00096658740749718,0.3019482130484734,0.03407101029201718
11,0.3225,0.3225,142,1.7635069030666117,0.1997825144024315,0.07466068014829548,0.049705446965708035,0.0824231849207652,0.09196942882298001,0.023366455361481957,0.009951268089388713,0.001028104139456327,0.3027508435634252,0.03474863368363945
12,0.32625,0.32625,139,1.8623770151750063,0.19261553729923891,0.06888801908171055,0.0496691704437153,0.0840576743237939,0.09709738344291428,0.023243036030952034,0.009587553350959819,0.0010442303217004683,0.30651749942900924,0.03489824419530641
13,0.26875,0.26875,185,1.9122018215616055,0.19787499137541595,0.05146965458308206,0.04928266360443384,0.07474405084807663,0.10128835630964972,0.02208695212313003,0.009973260884646312,0.0010607995946950066,0.3119173062665446,0.027337267129378076
14,0.32625,0.32625,139,1.905567721761426,0.16670942517188717,0.13158568432218104,0.0434351240456262,0.07618163276247021,0.11211498844910925,0.02804900764782892,0.008713304474741198,0.001159977196705032,0.339924420379371,0.034152066588192524
15,0.23375,0.23375,213,1.9908689564814128,0.15986747227536524,0.13251201023793774,0.04126126384463499,0.0709186352294152,0.11814288285281704,0.02764763310104128,0.008670377135107188,0.0015255541742003218,0.34894564446774584,0.022228209156017743
16,0.12625,0.12625,299,1.976668856268601,0.07434042116884156,0.13704413169163449,0.04450512563261947,0.09084425766501578,0.12399580782906533,0.027826045680759862,0.008113707647755389,0.001170860122302837,0.3454176127056319,0.015124752586844934
